book,chapter,verses,author
Deut,6,,Dtr
Deut,8,,Dtr
Deut,9,,Dtr
Deut,10,,Dtr
Deut,11,,Dtr
Deut,12,,Dtr
Deut,13,,Dtr
Deut,15,,Dtr
Deut,16,,Dtr
Deut,18,,Dtr
Deut,19,,Dtr
Deut,26,,Dtr
Deut,28,,Dtr
Deut,27,,Dtr
2Sam,7,,DtrH
Josh,1,,DtrH
Josh,5,,DtrH
Josh,6,,DtrH
Josh,12,,DtrH
Josh,23,,DtrH
Judg,2,,DtrH
Judg,6,,DtrH
1Kgs,8,,DtrH
2Kgs,17,1-21;,DtrH
2Kgs,22,,DtrH
2Kgs,23,,DtrH
2Kgs,24,,DtrH
2Kgs,25,,DtrH
Gen,17,,P
Exod,26,,P
Exod,27,,P
Exod,28,,P
Exod,16,,P
Exod,35,,P
Exod,36,,P
Exod,37,,P
Exod,38,,P
Exod,39,,P
Exod,40,,P
Exod,25,,P
Exod,29,,P
Exod,30,,P
Exod,31,,P
Exod,6,,P
Lev,1,,P
Lev,2,,P
Lev,3,,P
Lev,4,,P
Lev,8,,P
Lev,9,,P